date,sector,compra,compra_pc,venda,venda_pc,net,net_pc
2005-01-03,Bancos,437969,67.32,377632,58.04,60337,9.279999999999994
2005-01-03,DTVM'S e Corretoras de Valores,20,0,90,0.01,-70,-0.01
2005-01-03,Invest Institucional Nacional,196027,30.13,206263,31.7,-10236,-1.5700000000000003
2005-01-03,Investidores Não Residentes,13143,2.02,65283,10.03,-52140,-8.01
2005-01-03,Pessoa Jurídica Não Financeira,3459,0.53,1350,0.21,2109,0.32000000000000006
2005-01-04,Bancos,444891,67.17,384560,58.06,60331,9.11
2005-01-04,DTVM'S e Corretoras de Valores,110,0.02,180,0.03,-70,-0.009999999999999998
2005-01-04,Invest Institucional Nacional,201102,30.36,211351,31.91,-10249,-1.5500000000000007
2005-01-04,Investidores Não Residentes,12902,1.95,65028,9.82,-52126,-7.87
2005-01-04,Pessoa Jurídica Não Financeira,3314,0.5,1200,0.18,2114,0.32
2005-01-05,Bancos,434632,66.4,374417,57.2,60215,9.200000000000003
2005-01-05,DTVM'S e Corretoras de Valores,20,0,90,0.01,-70,-0.01
2005-01-05,Invest Institucional Nacional,203941,31.16,214128,32.71,-10187,-1.5500000000000007
2005-01-05,Investidores Não Residentes,12698,1.94,64770,9.89,-52072,-7.950000000000001
2005-01-05,Pessoa Jurídica Não Financeira,3304,0.5,1190,0.18,2114,0.32
2005-01-06,Bancos,437962,66.13,377821,57.05,60141,9.079999999999998
2005-01-06,DTVM'S e Corretoras de Valores,20,0,90,0.01,-70,-0.01
2005-01-06,Invest Institucional Nacional,205450,31.02,215641,32.56,-10191,-1.5400000000000027
2005-01-06,Investidores Não Residentes,15557,2.35,67554,10.2,-51997,-7.85
2005-01-06,Pessoa Jurídica Não Financeira,3307,0.5,1190,0.18,2117,0.32
2005-01-07,Bancos,431173,65.83,370929,56.64,60244,9.189999999999998
2005-01-07,DTVM'S e Corretoras de Valores,20,0,90,0.01,-70,-0.01
2005-01-07,Invest Institucional Nacional,201676,30.79,211927,32.36,-10251,-1.5700000000000003
2005-01-07,Investidores Não Residentes,18754,2.86,70795,10.81,-52041,-7.950000000000001
2005-01-07,Pessoa Jurídica Não Financeira,3308,0.51,1190,0.18,2118,0.33
2005-01-10,Bancos,434041,65.65,373725,56.52,60316,9.130000000000003
2005-01-10,DTVM'S e Corretoras de Valores,20,0,90,0.01,-70,-0.01
2005-01-10,Invest Institucional Nacional,202475,30.62,212811,32.19,-10336,-1.5699999999999967
2005-01-10,Investidores Não Residentes,21336,3.23,73361,11.1,-52025,-7.869999999999999
2005-01-10,Pessoa Jurídica Não Financeira,3305,0.5,1190,0.18,2115,0.32
2005-01-11,Bancos,429355,65.52,369299,56.36,60056,9.159999999999997
2005-01-11,DTVM'S e Corretoras de Valores,20,0,90,0.01,-70,-0.01
2005-01-11,Invest Institucional Nacional,200192,30.55,210270,32.09,-10078,-1.5400000000000027
2005-01-11,Investidores Não Residentes,22356,3.41,74380,11.35,-52024,-7.9399999999999995
2005-01-11,Pessoa Jurídica Não Financeira,3336,0.51,1220,0.19,2116,0.32
2005-01-12,Bancos,431843,65.12,371785,56.07,60058,9.050000000000004
2005-01-12,DTVM'S e Corretoras de Valores,20,0,90,0.01,-70,-0.01
2005-01-12,Invest Institucional Nacional,201956,30.46,212048,31.98,-10092,-1.5199999999999996
2005-01-12,Investidores Não Residentes,25483,3.84,77491,11.69,-52008,-7.85
2005-01-12,Pessoa Jurídica Não Financeira,3821,0.58,1709,0.26,2112,0.31999999999999995
2005-01-13,Bancos,433212,64.88,373220,55.9,59992,8.979999999999997
2005-01-13,DTVM'S e Corretoras de Valores,20,0,90,0.01,-70,-0.01
2005-01-13,Invest Institucional Nacional,202174,30.28,212312,31.8,-10138,-1.5199999999999996
2005-01-13,Investidores Não Residentes,28136,4.21,80036,11.99,-51900,-7.78
2005-01-13,Pessoa Jurídica Não Financeira,4155,0.62,2039,0.31,2116,0.31
2005-01-14,Bancos,434121,64.95,374739,56.06,59382,8.89
2005-01-14,DTVM'S e Corretoras de Valores,20,0,90,0.01,-70,-0.01
2005-01-14,Invest Institucional Nacional,204653,30.62,214812,32.14,-10159,-1.5199999999999996
2005-01-14,Investidores Não Residentes,25591,3.83,76860,11.5,-51269,-7.67
2005-01-14,Pessoa Jurídica Não Financeira,4055,0.61,1939,0.29,2116,0.32
2005-01-17,Bancos,435266,64.71,376850,56.02,58416,8.68999999999999
2005-01-17,DTVM'S e Corretoras de Valores,20,0,90,0.01,-70,-0.01
2005-01-17,Invest Institucional Nacional,206474,30.7,216638,32.21,-10164,-1.5100000000000016
2005-01-17,Investidores Não Residentes,26945,4.01,77247,11.48,-50302,-7.470000000000001
2005-01-17,Pessoa Jurídica Não Financeira,3955,0.59,1835,0.27,2120,0.31999999999999995
2005-01-18,Bancos,440145,64.72,382098,56.18,58047,8.54
2005-01-18,DTVM'S e Corretoras de Valores,20,0,90,0.01,-70,-0.01
2005-01-18,Invest Institucional Nacional,208104,30.6,218293,32.1,-10189,-1.5
2005-01-18,Investidores Não Residentes,27973,4.11,77872,11.45,-49899,-7.339999999999999
2005-01-18,Pessoa Jurídica Não Financeira,3886,0.57,1775,0.26,2111,0.30999999999999994
2005-01-19,Bancos,438320,65.01,379990,56.36,58330,8.650000000000006
2005-01-19,DTVM'S e Corretoras de Valores,20,0,90,0.01,-70,-0.01
2005-01-19,Invest Institucional Nacional,208474,30.92,218728,32.44,-10254,-1.519999999999996
2005-01-19,Investidores Não Residentes,23469,3.48,73584,10.91,-50115,-7.43
2005-01-19,Pessoa Jurídica Não Financeira,3974,0.59,1865,0.28,2109,0.30999999999999994
