date,sector,compra,compra_pc,venda,net,net_pc
2005-01-03,Bancos,68655,42.35,69975,-1320,-0.8099999999999952
2005-01-03,DTVM'S e Corretoras de Valores,405,0.25,115,290,0.18
2005-01-03,Invest Institucional Nacional,60257,37.17,57677,2580,1.5900000000000034
2005-01-03,Investidores Não Residentes,23448,14.46,29178,-5730,-3.539999999999999
2005-01-03,Pessoa Física,1430,0.88,295,1135,0.7
2005-01-03,Pessoa Jurídica Não Financeira,7930,4.89,4885,3045,1.88
2005-01-04,Bancos,74182,44.42,72740,1442,0.8700000000000045
2005-01-04,DTVM'S e Corretoras de Valores,410,0.25,115,295,0.18
2005-01-04,Invest Institucional Nacional,60777,36.39,60241,536,0.3200000000000003
2005-01-04,Investidores Não Residentes,22550,13.5,28428,-5878,-3.5199999999999996
2005-01-04,Outras Jurídicas Financeiras,110,0.07,0,110,0.07
2005-01-04,Pessoa Física,1495,0.9,270,1225,0.74
2005-01-04,Pessoa Jurídica Não Financeira,7495,4.49,5225,2270,1.3600000000000003
2005-01-05,Bancos,78357,46.13,74345,4012,2.3599999999999994
2005-01-05,DTVM'S e Corretoras de Valores,395,0.23,215,180,0.1
2005-01-05,Invest Institucional Nacional,62261,36.65,58823,3438,2.019999999999996
2005-01-05,Investidores Não Residentes,19998,11.77,30863,-10865,-6.400000000000002
2005-01-05,Pessoa Física,975,0.57,285,690,0.3999999999999999
2005-01-05,Pessoa Jurídica Não Financeira,7880,4.64,5335,2545,1.4999999999999996
2005-01-06,Bancos,74551,44.65,76107,-1556,-0.9299999999999997
2005-01-06,DTVM'S e Corretoras de Valores,390,0.23,125,265,0.16
2005-01-06,Invest Institucional Nacional,62795,37.61,57421,5374,3.219999999999999
2005-01-06,Investidores Não Residentes,20884,12.51,27157,-6273,-3.76
2005-01-06,Outras Jurídicas Financeiras,25,0.01,0,25,0.01
2005-01-06,Pessoa Física,820,0.49,305,515,0.31
2005-01-06,Pessoa Jurídica Não Financeira,7500,4.49,5850,1650,0.9900000000000002
2005-01-07,Bancos,77871,44.8,75957,1914,1.0999999999999943
2005-01-07,DTVM'S e Corretoras de Valores,365,0.21,230,135,0.07999999999999999
2005-01-07,Invest Institucional Nacional,65784,37.84,62660,3124,1.7900000000000063
2005-01-07,Investidores Não Residentes,21424,12.32,29840,-8416,-4.850000000000001
2005-01-07,Pessoa Física,738,0.42,340,398,0.21999999999999997
2005-01-07,Pessoa Jurídica Não Financeira,7645,4.4,4800,2845,1.6400000000000006
2005-01-10,Bancos,81499,45.89,78075,3424,1.9299999999999997
2005-01-10,DTVM'S e Corretoras de Valores,495,0.28,125,370,0.21000000000000002
2005-01-10,Invest Institucional Nacional,65857,37.08,63955,1902,1.0700000000000003
2005-01-10,Investidores Não Residentes,21367,12.03,31241,-9874,-5.5600000000000005
2005-01-10,Pessoa Física,898,0.51,455,443,0.25
2005-01-10,Pessoa Jurídica Não Financeira,7470,4.21,3735,3735,2.11
2005-01-11,Bancos,83966,45.44,81580,2386,1.2999999999999972
2005-01-11,DTVM'S e Corretoras de Valores,370,0.2,125,245,0.13
2005-01-11,Invest Institucional Nacional,69444,37.58,61795,7649,4.140000000000001
2005-01-11,Investidores Não Residentes,23559,12.75,36282,-12723,-6.879999999999999
2005-01-11,Pessoa Física,688,0.37,515,173,0.08999999999999997
2005-01-11,Pessoa Jurídica Não Financeira,6775,3.67,4505,2270,1.23
2005-01-12,Bancos,88994,47.11,79425,9569,5.060000000000002
2005-01-12,DTVM'S e Corretoras de Valores,370,0.2,180,190,0.1
2005-01-12,Invest Institucional Nacional,69232,36.65,61236,7996,4.229999999999997
2005-01-12,Investidores Não Residentes,20805,11.01,44240,-23435,-12.410000000000002
2005-01-12,Pessoa Física,1310,0.69,245,1065,0.5599999999999999
2005-01-12,Pessoa Jurídica Não Financeira,8190,4.34,3575,4615,2.45
2005-01-13,Bancos,92529,47.94,78790,13739,7.1199999999999974
2005-01-13,DTVM'S e Corretoras de Valores,345,0.18,140,205,0.10999999999999999
2005-01-13,Invest Institucional Nacional,73034,37.84,67956,5078,2.6300000000000026
2005-01-13,Investidores Não Residentes,18803,9.74,42330,-23527,-12.19
2005-01-13,Pessoa Física,935,0.48,320,615,0.30999999999999994
2005-01-13,Pessoa Jurídica Não Financeira,7370,3.82,3480,3890,2.0199999999999996
2005-01-14,Bancos,98109,50.21,77380,20729,10.61
2005-01-14,DTVM'S e Corretoras de Valores,365,0.19,140,225,0.12
2005-01-14,Invest Institucional Nacional,71321,36.5,75468,-4147,-2.1199999999999974
2005-01-14,Investidores Não Residentes,16934,8.67,38671,-21737,-11.12
2005-01-14,Pessoa Física,1515,0.78,200,1315,0.68
2005-01-14,Pessoa Jurídica Não Financeira,7150,3.66,3535,3615,1.85
2005-01-17,Bancos,100274,51.01,75885,24389,12.409999999999997
2005-01-17,DTVM'S e Corretoras de Valores,365,0.19,140,225,0.12
2005-01-17,Invest Institucional Nacional,69955,35.59,75170,-5215,-2.6499999999999986
2005-01-17,Investidores Não Residentes,17187,8.74,41861,-24674,-12.56
2005-01-17,Pessoa Física,1450,0.74,200,1250,0.64
2005-01-17,Pessoa Jurídica Não Financeira,7345,3.74,3320,4025,2.0500000000000003
2005-01-18,Bancos,101450,51.58,78245,23205,11.799999999999997
2005-01-18,DTVM'S e Corretoras de Valores,410,0.21,130,280,0.13999999999999999
2005-01-18,Invest Institucional Nacional,68153,34.65,73959,-5806,-2.950000000000003
2005-01-18,Investidores Não Residentes,19140,9.73,40013,-20873,-10.61
2005-01-18,Pessoa Física,790,0.4,695,95,0.050000000000000044
2005-01-18,Pessoa Jurídica Não Financeira,6755,3.43,3656,3099,1.57
2005-01-19,Bancos,100815,50.59,78490,22325,11.200000000000003
2005-01-19,DTVM'S e Corretoras de Valores,385,0.19,135,250,0.12
2005-01-19,Invest Institucional Nacional,72037,36.15,71303,734,0.36999999999999744
2005-01-19,Investidores Não Residentes,18040,9.05,45248,-27208,-13.66
2005-01-19,Outras Jurídicas Financeiras,10,0.01,0,10,0.01
2005-01-19,Pessoa Física,810,0.41,780,30,0.019999999999999962
2005-01-19,Pessoa Jurídica Não Financeira,7165,3.6,3306,3859,1.9400000000000002
2005-01-20,Bancos,97080,48.98,83940,13140,6.6299999999999955
2005-01-20,DTVM'S e Corretoras de Valores,520,0.26,125,395,0.2
2005-01-20,Invest Institucional Nacional,73273,36.97,68618,4655,2.3500000000000014
2005-01-20,Investidores Não Residentes,20046,10.11,40838,-20792,-10.5
2005-01-20,Outras Jurídicas Financeiras,0,0,50,-50,-0.03
2005-01-20,Pessoa Física,575,0.29,860,-285,-0.14
2005-01-20,Pessoa Jurídica Não Financeira,6695,3.38,3758,2937,1.48
2005-01-21,Bancos,104003,51.02,79520,24483,12.010000000000005
2005-01-21,DTVM'S e Corretoras de Valores,375,0.18,125,250,0.12
2005-01-21,Invest Institucional Nacional,72208,35.43,70914,1294,0.6400000000000006
2005-01-21,Investidores Não Residentes,18328,8.99,49275,-30947,-15.180000000000001
2005-01-21,Pessoa Física,885,0.43,730,155,0.07
2005-01-21,Pessoa Jurídica Não Financeira,8030,3.94,3265,4765,2.34
2005-01-24,Bancos,105768,51.55,75725,30043,14.649999999999999
2005-01-24,DTVM'S e Corretoras de Valores,295,0.14,110,185,0.09000000000000001
2005-01-24,Invest Institucional Nacional,71795,34.99,73583,-1788,-0.8699999999999974
2005-01-24,Investidores Não Residentes,18430,8.98,50785,-32355,-15.77
2005-01-24,Pessoa Física,950,0.46,755,195,0.09000000000000002
2005-01-24,Pessoa Jurídica Não Financeira,7955,3.88,4235,3720,1.8199999999999998
2005-01-26,Bancos,131076,55.27,89348,41728,17.6
2005-01-26,DTVM'S e Corretoras de Valores,205,0.09,105,100,0.049999999999999996
2005-01-26,Invest Institucional Nacional,77132,32.52,79517,-2385,-1.009999999999998
2005-01-26,Investidores Não Residentes,18898,7.97,62860,-43962,-18.53
2005-01-26,Outras Jurídicas Financeiras,10,0,0,10,0
2005-01-26,Pessoa Física,1145,0.48,650,495,0.20999999999999996
2005-01-26,Pessoa Jurídica Não Financeira,8700,3.67,4686,4014,1.69
2005-01-27,Bancos,147722,55.16,103224,44498,16.619999999999997
2005-01-27,DTVM'S e Corretoras de Valores,285,0.11,110,175,0.07
2005-01-27,Invest Institucional Nacional,87234,32.57,94862,-7628,-2.8500000000000014
2005-01-27,Investidores Não Residentes,22458,8.39,64227,-41769,-15.59
2005-01-27,Outras Jurídicas Financeiras,50,0.02,65,-15,0
2005-01-27,Pessoa Física,1610,0.6,540,1070,0.39999999999999997
2005-01-27,Pessoa Jurídica Não Financeira,8467,3.16,4798,3669,1.37
2005-01-28,Bancos,156417,54.67,109869,46548,16.270000000000003
2005-01-28,DTVM'S e Corretoras de Valores,300,0.1,170,130,0.04000000000000001
2005-01-28,Invest Institucional Nacional,92039,32.17,96736,-4697,-1.6400000000000006
2005-01-28,Investidores Não Residentes,27054,9.46,74439,-47385,-16.56
2005-01-28,Outras Jurídicas Financeiras,0,0,70,-70,-0.02
2005-01-28,Pessoa Física,1495,0.52,325,1170,0.41000000000000003
2005-01-28,Pessoa Jurídica Não Financeira,8815,3.08,4511,4304,1.5
2005-01-31,Bancos,170122,55.07,109559,60563,19.61
2005-01-31,DTVM'S e Corretoras de Valores,345,0.11,605,-260,-0.09000000000000001
2005-01-31,Invest Institucional Nacional,96541,31.25,119532,-22991,-7.439999999999998
2005-01-31,Investidores Não Residentes,29405,9.52,72011,-42606,-13.79
2005-01-31,Outras Jurídicas Financeiras,15,0,0,15,0
2005-01-31,Pessoa Física,2620,0.85,2690,-70,-0.020000000000000018
2005-01-31,Pessoa Jurídica Não Financeira,9895,3.2,4546,5349,1.7300000000000002
2005-02-01,Bancos,104720,54.88,39400,65320,34.230000000000004
2005-02-01,DTVM'S e Corretoras de Valores,750,0.39,45,705,0.37
2005-02-01,Invest Institucional Nacional,62936,32.98,90874,-27938,-14.64
2005-02-01,Investidores Não Residentes,11737,6.15,57666,-45929,-24.07
2005-02-01,Pessoa Física,2420,1.27,60,2360,1.24
2005-02-01,Pessoa Jurídica Não Financeira,8265,4.33,2783,5482,2.87
2005-02-02,Bancos,103374,53.85,38375,64999,33.86
2005-02-02,DTVM'S e Corretoras de Valores,635,0.33,125,510,0.26
2005-02-02,Invest Institucional Nacional,65859,34.31,90070,-24211,-12.61
2005-02-02,Investidores Não Residentes,12067,6.29,60117,-48050,-25.03
2005-02-02,Outras Jurídicas Financeiras,20,0.01,0,20,0.01
2005-02-02,Pessoa Física,1935,1.01,95,1840,0.96
2005-02-02,Pessoa Jurídica Não Financeira,8085,4.21,3193,4892,2.55
2005-02-03,Bancos,110650,55.57,41605,69045,34.68
2005-02-03,DTVM'S e Corretoras de Valores,635,0.32,105,530,0.27
2005-02-03,Invest Institucional Nacional,65170,32.73,95494,-30324,-15.220000000000006
2005-02-03,Investidores Não Residentes,13464,6.76,58777,-45313,-22.759999999999998
2005-02-03,Pessoa Física,1815,0.91,295,1520,0.76
2005-02-03,Pessoa Jurídica Não Financeira,7400,3.72,2858,4542,2.2800000000000002
2005-02-04,Bancos,104805,54.21,35550,69255,35.82
2005-02-04,DTVM'S e Corretoras de Valores,650,0.34,45,605,0.32
2005-02-04,Invest Institucional Nacional,63323,32.75,98376,-35053,-18.130000000000003
2005-02-04,Investidores Não Residentes,15608,8.07,56212,-40604,-21
2005-02-04,Pessoa Física,1750,0.91,100,1650,0.86
2005-02-04,Pessoa Jurídica Não Financeira,7200,3.72,3053,4147,2.14
2005-02-09,Bancos,103610,53.86,38930,64680,33.620000000000005
2005-02-09,DTVM'S e Corretoras de Valores,670,0.35,45,625,0.32999999999999996
2005-02-09,Invest Institucional Nacional,63561,33.04,91896,-28335,-14.730000000000004
2005-02-09,Investidores Não Residentes,15470,8.04,58077,-42607,-22.150000000000002
2005-02-09,Pessoa Física,1715,0.89,340,1375,0.71
2005-02-09,Pessoa Jurídica Não Financeira,7345,3.82,3083,4262,2.2199999999999998
2005-02-10,Bancos,109655,55.81,39145,70510,35.89
2005-02-10,DTVM'S e Corretoras de Valores,670,0.34,45,625,0.32
2005-02-10,Invest Institucional Nacional,63664,32.4,99021,-35357,-18
2005-02-10,Investidores Não Residentes,14087,7.17,54507,-40420,-20.57
2005-02-10,Pessoa Física,1665,0.85,515,1150,0.59
2005-02-10,Pessoa Jurídica Não Financeira,6740,3.43,3248,3492,1.7800000000000002
2005-02-11,Bancos,124975,59.01,38705,86270,40.73
2005-02-11,DTVM'S e Corretoras de Valores,670,0.32,45,625,0.3
2005-02-11,Invest Institucional Nacional,63242,29.86,107106,-43864,-20.71
2005-02-11,Investidores Não Residentes,14409,6.8,61652,-47243,-22.31
2005-02-11,Outras Jurídicas Financeiras,0,0,50,-50,-0.02
2005-02-11,Pessoa Física,1550,0.73,255,1295,0.61
2005-02-11,Pessoa Jurídica Não Financeira,6935,3.27,3968,2967,1.4
2005-02-14,Bancos,129305,61.02,39460,89845,42.400000000000006
2005-02-14,DTVM'S e Corretoras de Valores,800,0.38,45,755,0.36
2005-02-14,Invest Institucional Nacional,59468,28.06,108822,-49354,-23.290000000000003
2005-02-14,Investidores Não Residentes,12994,6.13,59412,-46418,-21.91
2005-02-14,Outras Jurídicas Financeiras,0,0,5,-5,0
2005-02-14,Pessoa Física,1920,0.91,205,1715,0.81
2005-02-14,Pessoa Jurídica Não Financeira,7425,3.5,3963,3462,1.63
2005-02-15,Bancos,133270,61.13,41570,91700,42.06
2005-02-15,DTVM'S e Corretoras de Valores,800,0.37,55,745,0.33999999999999997
2005-02-15,Invest Institucional Nacional,61013,27.99,111975,-50962,-23.37
2005-02-15,Investidores Não Residentes,13325,6.11,59092,-45767,-21
2005-02-15,Outras Jurídicas Financeiras,0,0,5,-5,0
2005-02-15,Pessoa Física,2365,1.08,613,1752,0.8
2005-02-15,Pessoa Jurídica Não Financeira,7230,3.32,4693,2537,1.17
2005-02-16,Bancos,134440,61.4,38360,96080,43.879999999999995
2005-02-16,DTVM'S e Corretoras de Valores,860,0.39,35,825,0.37
2005-02-16,Invest Institucional Nacional,61765,28.21,113050,-51285,-23.42
2005-02-16,Investidores Não Residentes,13436,6.14,61930,-48494,-22.14
2005-02-16,Pessoa Física,1480,0.68,348,1132,0.52
2005-02-16,Pessoa Jurídica Não Financeira,6980,3.19,5238,1742,0.7999999999999998
2005-02-17,Bancos,173385,67.43,51175,122210,47.53000000000001
2005-02-17,DTVM'S e Corretoras de Valores,815,0.32,30,785,0.31
2005-02-17,Invest Institucional Nacional,59810,23.26,127031,-67221,-26.149999999999995
2005-02-17,Investidores Não Residentes,14707,5.72,72400,-57693,-22.44
2005-02-17,Outras Jurídicas Financeiras,5,0,0,5,0
2005-02-17,Pessoa Física,1325,0.52,893,432,0.17000000000000004
2005-02-17,Pessoa Jurídica Não Financeira,7070,2.75,5588,1482,0.5800000000000001
2005-02-18,Bancos,179851,67.11,60978,118873,44.36
2005-02-18,DTVM'S e Corretoras de Valores,735,0.27,55,680,0.25
2005-02-18,Invest Institucional Nacional,60473,22.56,126471,-65998,-24.63
2005-02-18,Investidores Não Residentes,18491,6.9,73590,-55099,-20.560000000000002
2005-02-18,Pessoa Física,1435,0.54,388,1047,0.4
2005-02-18,Pessoa Jurídica Não Financeira,7025,2.62,6528,497,0.18000000000000016
2005-02-21,Bancos,183426,68.37,61388,122038,45.49000000000001
2005-02-21,DTVM'S e Corretoras de Valores,680,0.25,65,615,0.23
2005-02-21,Invest Institucional Nacional,56897,21.21,127403,-70506,-26.28
2005-02-21,Investidores Não Residentes,18851,7.03,72357,-53506,-19.939999999999998
2005-02-21,Outras Jurídicas Financeiras,0,0,5,-5,0
2005-02-21,Pessoa Física,1580,0.59,463,1117,0.41999999999999993
2005-02-21,Pessoa Jurídica Não Financeira,6840,2.55,6593,247,0.08999999999999986
2005-02-22,Bancos,174041,67.01,58468,115573,44.5
2005-02-22,DTVM'S e Corretoras de Valores,680,0.26,55,625,0.24000000000000002
2005-02-22,Invest Institucional Nacional,53716,20.68,117818,-64102,-24.689999999999998
2005-02-22,Investidores Não Residentes,23032,8.87,75492,-52460,-20.200000000000003
2005-02-22,Pessoa Física,1605,0.62,633,972,0.38
2005-02-22,Pessoa Jurídica Não Financeira,6635,2.55,7243,-608,-0.2400000000000002
2005-02-23,Bancos,182543,68.12,60128,122415,45.68000000000001
2005-02-23,DTVM'S e Corretoras de Valores,710,0.26,55,655,0.24000000000000002
2005-02-23,Invest Institucional Nacional,53451,19.95,119893,-66442,-24.790000000000003
2005-02-23,Investidores Não Residentes,22170,8.27,79152,-56982,-21.27
2005-02-23,Pessoa Física,1675,0.63,493,1182,0.45
2005-02-23,Pessoa Jurídica Não Financeira,7415,2.77,8243,-828,-0.31000000000000005
2005-02-24,Bancos,193927,65.67,61493,132434,44.85
2005-02-24,DTVM'S e Corretoras de Valores,655,0.22,100,555,0.19
