date,sector,compra,compra_pc,venda,net,net_pc
2005-01-03,Bancos,135945,80.73,143895,-7950,-4.719999999999999
2005-01-03,Invest Institucional Nacional,26250,15.59,22040,4210,2.5
2005-01-03,Investidores Não Residentes,4190,2.49,1540,2650,1.58
2005-01-03,Pessoa Física,858,0.51,18,840,0.5
2005-01-03,Pessoa Jurídica Não Financeira,1150,0.68,900,250,0.15000000000000002
2005-01-04,Bancos,134845,80.94,141495,-6650,-3.990000000000009
2005-01-04,Invest Institucional Nacional,26350,15.82,22240,4110,2.4700000000000006
2005-01-04,Investidores Não Residentes,4190,2.52,1940,2250,1.36
2005-01-04,Pessoa Física,58,0.03,18,40,0.019999999999999997
2005-01-04,Pessoa Jurídica Não Financeira,1150,0.69,900,250,0.1499999999999999
2005-01-05,Bancos,140445,80.12,147845,-7400,-4.219999999999999
2005-01-05,DTVM'S e Corretoras de Valores,0,0,100,-100,-0.06
2005-01-05,Invest Institucional Nacional,27385,15.62,22190,5195,2.959999999999999
2005-01-05,Investidores Não Residentes,6255,3.57,4240,2015,1.15
2005-01-05,Pessoa Física,58,0.03,18,40,0.019999999999999997
2005-01-05,Pessoa Jurídica Não Financeira,1150,0.66,900,250,0.15000000000000002
2005-01-06,Bancos,141945,79.96,149670,-7725,-4.3500000000000085
2005-01-06,Invest Institucional Nacional,28110,15.84,22490,5620,3.17
2005-01-06,Investidores Não Residentes,6255,3.52,4440,1815,1.02
2005-01-06,Pessoa Física,58,0.03,18,40,0.019999999999999997
2005-01-06,Pessoa Jurídica Não Financeira,1150,0.65,900,250,0.14
2005-01-07,Bancos,154295,80.89,161970,-7675,-4.030000000000001
2005-01-07,Invest Institucional Nacional,29010,15.21,23290,5720,3
2005-01-07,Investidores Não Residentes,6225,3.26,4510,1715,0.8999999999999999
2005-01-07,Pessoa Física,58,0.03,18,40,0.019999999999999997
2005-01-07,Pessoa Jurídica Não Financeira,1150,0.6,950,200,0.09999999999999998
2005-01-10,Bancos,154955,80.66,163030,-8075,-4.210000000000008
2005-01-10,Invest Institucional Nacional,29515,15.36,23595,5920,3.08
2005-01-10,Investidores Não Residentes,6425,3.34,4510,1915,0.9899999999999998
2005-01-10,Pessoa Física,58,0.03,18,40,0.019999999999999997
2005-01-10,Pessoa Jurídica Não Financeira,1150,0.6,950,200,0.10999999999999999
2005-01-11,Bancos,161305,81.16,168280,-6975,-3.510000000000005
2005-01-11,DTVM'S e Corretoras de Valores,100,0.05,0,100,0.05
2005-01-11,Invest Institucional Nacional,29415,14.8,23695,5720,2.880000000000001
2005-01-11,Investidores Não Residentes,6725,3.38,5810,915,0.45999999999999996
2005-01-11,Pessoa Física,58,0.03,18,40,0.019999999999999997
2005-01-11,Pessoa Jurídica Não Financeira,1150,0.58,950,200,0.09999999999999998
2005-01-12,Bancos,177305,82.1,185280,-7975,-3.700000000000003
2005-01-12,Invest Institucional Nacional,30610,14.17,24027,6583,3.039999999999999
2005-01-12,Investidores Não Residentes,6830,3.16,5678,1152,0.5300000000000002
2005-01-12,Pessoa Física,58,0.03,18,40,0.019999999999999997
2005-01-12,Pessoa Jurídica Não Financeira,1150,0.53,950,200,0.09000000000000002
2005-01-13,Bancos,177195,81.94,185870,-8675,-4.010000000000005
2005-01-13,Invest Institucional Nacional,31110,14.39,24127,6983,3.2300000000000004
2005-01-13,Investidores Não Residentes,6730,3.11,5278,1452,0.6699999999999999
2005-01-13,Pessoa Física,58,0.03,18,40,0.019999999999999997
2005-01-13,Pessoa Jurídica Não Financeira,1150,0.53,950,200,0.09000000000000002
2005-01-14,Bancos,195095,83.07,203770,-8675,-3.700000000000003
2005-01-14,Invest Institucional Nacional,31610,13.46,24593,7017,2.99
2005-01-14,Investidores Não Residentes,6930,2.95,5512,1418,0.6000000000000001
2005-01-14,Pessoa Física,58,0.02,18,40,0.01
