date,sector,compra,compra_pc,venda,net,net_pc
2005-01-03,Bancos,22010,90.26,20705,1305,5.3500000000000085
2005-01-03,Invest Institucional Nacional,975,4,3150,-2175,-8.92
2005-01-03,Investidores Não Residentes,1400,5.74,410,990,4.0600000000000005
2005-01-03,Pessoa Jurídica Não Financeira,0,0,120,-120,-0.49
2005-01-04,Bancos,23310,89.36,21905,1405,5.3799999999999955
2005-01-04,Invest Institucional Nacional,1225,4.7,3350,-2125,-8.14
2005-01-04,Investidores Não Residentes,1550,5.94,710,840,3.22
2005-01-04,Pessoa Jurídica Não Financeira,0,0,120,-120,-0.46
2005-01-05,Bancos,24560,83.72,24955,-395,-1.3499999999999943
2005-01-05,Invest Institucional Nacional,3225,10.99,3550,-325,-1.1099999999999994
2005-01-05,Investidores Não Residentes,1550,5.28,710,840,2.8600000000000003
2005-01-05,Pessoa Jurídica Não Financeira,0,0,120,-120,-0.41
2005-01-06,Bancos,24860,83.73,25255,-395,-1.3299999999999983
2005-01-06,Invest Institucional Nacional,3280,11.05,3605,-325,-1.0899999999999999
2005-01-06,Investidores Não Residentes,1550,5.22,710,840,2.8299999999999996
2005-01-06,Pessoa Jurídica Não Financeira,0,0,120,-120,-0.4
2005-01-07,Bancos,25460,83.64,25965,-505,-1.6599999999999966
2005-01-07,Invest Institucional Nacional,3430,11.27,3555,-125,-0.41000000000000014
2005-01-07,Investidores Não Residentes,1550,5.09,800,750,2.46
2005-01-07,Pessoa Jurídica Não Financeira,0,0,120,-120,-0.39
2005-01-10,Bancos,25360,83.31,25965,-605,-1.9899999999999949
2005-01-10,Invest Institucional Nacional,3530,11.6,3555,-25,-0.08000000000000007
2005-01-10,Investidores Não Residentes,1550,5.09,800,750,2.46
2005-01-10,Pessoa Jurídica Não Financeira,0,0,120,-120,-0.39
2005-01-11,Bancos,25160,82.93,25865,-705,-2.319999999999993
2005-01-11,Invest Institucional Nacional,3630,11.96,3555,75,0.2400000000000002
2005-01-11,Investidores Não Residentes,1550,5.11,800,750,2.47
2005-01-11,Pessoa Jurídica Não Financeira,0,0,120,-120,-0.4
2005-01-12,Bancos,26290,84.83,26395,-105,-0.3400000000000034
2005-01-12,Invest Institucional Nacional,3580,11.55,3787,-207,-0.6699999999999999
2005-01-12,Investidores Não Residentes,1100,3.55,668,432,1.3899999999999997
2005-01-12,Pessoa Física,20,0.06,20,0,0
2005-01-12,Pessoa Jurídica Não Financeira,0,0,120,-120,-0.39
2005-01-13,Bancos,25690,83.83,26045,-355,-1.1599999999999966
2005-01-13,Invest Institucional Nacional,3835,12.51,3892,-57,-0.1899999999999995
2005-01-13,Investidores Não Residentes,1100,3.59,568,532,1.7399999999999998
2005-01-13,Pessoa Física,20,0.07,20,0,0
2005-01-13,Pessoa Jurídica Não Financeira,0,0,120,-120,-0.39
2005-01-14,Bancos,27290,84.91,27545,-255,-0.7900000000000063
2005-01-14,Invest Institucional Nacional,3530,10.98,3753,-223,-0.6999999999999993
2005-01-14,Investidores Não Residentes,1300,4.04,702,598,1.8599999999999999
2005-01-14,Pessoa Física,20,0.06,20,0,0
2005-01-14,Pessoa Jurídica Não Financeira,0,0,120,-120,-0.37
2005-01-17,Bancos,27410,84.43,27665,-255,-0.7799999999999869
2005-01-17,Invest Institucional Nacional,3735,11.5,3958,-223,-0.6899999999999995
2005-01-17,Investidores Não Residentes,1300,4,702,598,1.8399999999999999
2005-01-17,Pessoa Física,20,0.06,20,0,0
2005-01-17,Pessoa Jurídica Não Financeira,0,0,120,-120,-0.37
2005-01-18,Bancos,28490,82.92,28765,-275,-0.7999999999999972
2005-01-18,Invest Institucional Nacional,4530,13.18,4753,-223,-0.6500000000000004
2005-01-18,Investidores Não Residentes,1320,3.84,702,618,1.7999999999999998
2005-01-18,Pessoa Física,20,0.06,20,0,0
2005-01-18,Pessoa Jurídica Não Financeira,0,0,120,-120,-0.35
2005-01-19,Bancos,28590,83.2,28865,-275,-0.7999999999999972
2005-01-19,Invest Institucional Nacional,4435,12.91,4658,-223,-0.6400000000000006
2005-01-19,Investidores Não Residentes,1320,3.84,702,618,1.7999999999999998
2005-01-19,Pessoa Física,20,0.06,20,0,0
2005-01-19,Pessoa Jurídica Não Financeira,0,0,120,-120,-0.35
2005-01-20,Bancos,28690,83.71,29165,-475,-1.3800000000000097
2005-01-20,Invest Institucional Nacional,4245,12.39,4303,-58,-0.16000000000000014
2005-01-20,Investidores Não Residentes,1320,3.85,667,653,1.9000000000000001
2005-01-20,Pessoa Física,20,0.06,20,0,0
2005-01-20,Pessoa Jurídica Não Financeira,0,0,120,-120,-0.35
2005-01-21,Bancos,28590,84.32,28965,-375,-1.1100000000000136
