date,sector,compra,compra_pc,venda,net,net_pc
2005-01-03,Banco Central,245303,98.4,0,245303,98.4
2005-01-03,Bancos,3780,1.52,186022,-182242,-73.10000000000001
2005-01-03,Invest Institucional Nacional,200,0.08,55261,-55061,-22.090000000000003
2005-01-03,Investidores Não Residentes,0,0,7450,-7450,-2.99
2005-01-03,Pessoa Jurídica Não Financeira,0,0,550,-550,-0.22
2005-01-04,Banco Central,245303,98.4,0,245303,98.4
2005-01-04,Bancos,3780,1.52,186022,-182242,-73.10000000000001
2005-01-04,Invest Institucional Nacional,200,0.08,55261,-55061,-22.090000000000003
2005-01-04,Investidores Não Residentes,0,0,7450,-7450,-2.99
2005-01-04,Pessoa Jurídica Não Financeira,0,0,550,-550,-0.22
2005-01-05,Banco Central,245303,98.4,0,245303,98.4
2005-01-05,Bancos,3780,1.52,186022,-182242,-73.10000000000001
2005-01-05,Invest Institucional Nacional,200,0.08,55261,-55061,-22.090000000000003
2005-01-05,Investidores Não Residentes,0,0,7450,-7450,-2.99
2005-01-05,Pessoa Jurídica Não Financeira,0,0,550,-550,-0.22
2005-01-06,Banco Central,245303,98.4,0,245303,98.4
2005-01-06,Bancos,3780,1.52,186022,-182242,-73.10000000000001
2005-01-06,Invest Institucional Nacional,200,0.08,55261,-55061,-22.090000000000003
2005-01-06,Investidores Não Residentes,0,0,7450,-7450,-2.99
2005-01-06,Pessoa Jurídica Não Financeira,0,0,550,-550,-0.22
2005-01-07,Banco Central,245303,98.4,0,245303,98.4
2005-01-07,Bancos,3780,1.52,186022,-182242,-73.10000000000001
2005-01-07,Invest Institucional Nacional,200,0.08,55261,-55061,-22.090000000000003
2005-01-07,Investidores Não Residentes,0,0,7450,-7450,-2.99
2005-01-07,Pessoa Jurídica Não Financeira,0,0,550,-550,-0.22
2005-01-10,Banco Central,245303,98.4,0,245303,98.4
2005-01-10,Bancos,3780,1.52,186022,-182242,-73.10000000000001
2005-01-10,Invest Institucional Nacional,200,0.08,55261,-55061,-22.090000000000003
2005-01-10,Investidores Não Residentes,0,0,7450,-7450,-2.99
2005-01-10,Pessoa Jurídica Não Financeira,0,0,550,-550,-0.22
2005-01-11,Banco Central,245303,98.4,0,245303,98.4
2005-01-11,Bancos,3780,1.52,186022,-182242,-73.10000000000001
2005-01-11,Invest Institucional Nacional,200,0.08,55261,-55061,-22.090000000000003
2005-01-11,Investidores Não Residentes,0,0,7450,-7450,-2.99
2005-01-11,Pessoa Jurídica Não Financeira,0,0,550,-550,-0.22
2005-01-12,Banco Central,215454,98.19,0,215454,98.19
2005-01-12,Bancos,3780,1.72,168692,-164912,-75.16
2005-01-12,Invest Institucional Nacional,200,0.09,42742,-42542,-19.39
2005-01-12,Investidores Não Residentes,0,0,7450,-7450,-3.4
2005-01-12,Pessoa Jurídica Não Financeira,0,0,550,-550,-0.25
2005-01-13,Banco Central,215454,98.19,0,215454,98.19
2005-01-13,Bancos,3780,1.72,168692,-164912,-75.16
2005-01-13,Invest Institucional Nacional,200,0.09,42742,-42542,-19.39
2005-01-13,Investidores Não Residentes,0,0,7450,-7450,-3.4
2005-01-13,Pessoa Jurídica Não Financeira,0,0,550,-550,-0.25
2005-01-14,Banco Central,215454,98.19,0,215454,98.19
2005-01-14,Bancos,3780,1.72,168692,-164912,-75.16
2005-01-14,Invest Institucional Nacional,200,0.09,42742,-42542,-19.39
2005-01-14,Investidores Não Residentes,0,0,7450,-7450,-3.4
2005-01-14,Pessoa Jurídica Não Financeira,0,0,550,-550,-0.25
2005-01-17,Banco Central,215454,98.19,0,215454,98.19
2005-01-17,Bancos,3780,1.72,168692,-164912,-75.16
2005-01-17,Invest Institucional Nacional,200,0.09,42742,-42542,-19.39
2005-01-17,Investidores Não Residentes,0,0,7450,-7450,-3.4
2005-01-17,Pessoa Jurídica Não Financeira,0,0,550,-550,-0.25
2005-01-18,Banco Central,215454,98.19,0,215454,98.19
2005-01-18,Bancos,3780,1.72,169092,-165312,-75.34
2005-01-18,Invest Institucional Nacional,200,0.09,42742,-42542,-19.39
2005-01-18,Investidores Não Residentes,0,0,7050,-7050,-3.21
2005-01-18,Pessoa Jurídica Não Financeira,0,0,550,-550,-0.25
2005-01-19,Banco Central,215454,98.19,0,215454,98.19
2005-01-19,Bancos,3780,1.72,169092,-165312,-75.34
2005-01-19,Invest Institucional Nacional,200,0.09,42742,-42542,-19.39
2005-01-19,Investidores Não Residentes,0,0,7050,-7050,-3.21
2005-01-19,Pessoa Jurídica Não Financeira,0,0,550,-550,-0.25
2005-01-20,Banco Central,211104,98.15,0,211104,98.15
2005-01-20,Bancos,3780,1.76,166092,-162312,-75.46
2005-01-20,Invest Institucional Nacional,200,0.09,41392,-41192,-19.15
2005-01-20,Investidores Não Residentes,0,0,7050,-7050,-3.28
2005-01-20,Pessoa Jurídica Não Financeira,0,0,550,-550,-0.26
2005-01-21,Banco Central,211104,98.15,0,211104,98.15
2005-01-21,Bancos,3780,1.76,166092,-162312,-75.46
2005-01-21,Invest Institucional Nacional,200,0.09,41392,-41192,-19.15
2005-01-21,Investidores Não Residentes,0,0,7050,-7050,-3.28
2005-01-21,Pessoa Jurídica Não Financeira,0,0,550,-550,-0.26
2005-01-24,Banco Central,211104,98.15,0,211104,98.15
2005-01-24,Bancos,3780,1.76,166092,-162312,-75.46
2005-01-24,Invest Institucional Nacional,200,0.09,41392,-41192,-19.15
2005-01-24,Investidores Não Residentes,0,0,7050,-7050,-3.28
2005-01-24,Pessoa Jurídica Não Financeira,0,0,550,-550,-0.26
2005-01-26,Banco Central,211104,98.15,0,211104,98.15
2005-01-26,Bancos,3780,1.76,166092,-162312,-75.46
2005-01-26,Invest Institucional Nacional,200,0.09,41392,-41192,-19.15
