date,mercado,vol_usd
2009-01-01,DDI,88.909971
2009-01-01,FUT,216.919004
2009-01-01,OPT,15.721472
2009-02-01,DDI,77.373665
2009-02-01,FUT,206.436628
2009-02-01,OPT,NA
2009-03-01,DDI,82.089156
2009-03-01,FUT,267.840299
2009-03-01,OPT,NA
2009-04-01,DDI,70.152677
2009-04-01,FUT,266.273067
2009-04-01,OPT,NA
2009-05-01,DDI,74.88494
2009-05-01,FUT,303.306957
2009-05-01,OPT,NA
2009-06-01,DDI,63.629386
2009-06-01,FUT,296.633775
2009-06-01,OPT,NA
2009-07-01,DDI,67.824078
2009-07-01,FUT,277.297968
2009-07-01,OPT,NA
2009-08-01,DDI,53.009564
2009-08-01,FUT,320.694548
2009-08-01,OPT,NA
2009-09-01,DDI,77.984795
2009-09-01,FUT,298.76108
2009-09-01,OPT,5.08023
2009-10-01,DDI,88.814196
2009-10-01,FUT,352.862731
2009-10-01,OPT,7.894135
2009-11-01,DDI,89.640812
2009-11-01,FUT,262.338516
2009-11-01,OPT,6.77998
2009-12-01,DDI,66.816904
2009-12-01,FUT,283.227933
2009-12-01,OPT,5.141854
2010-01-01,DDI,75.608997
2010-01-01,FUT,292.468716
2010-01-01,OPT,10.074992
2010-02-01,DDI,67.71198
2010-02-01,FUT,325.693641
2010-02-01,OPT,8.314812
2010-03-01,DDI,85.371238
2010-03-01,FUT,410.554289
2010-03-01,OPT,9.957426
2010-04-01,DDI,89.327219
2010-04-01,FUT,393.604553
2010-04-01,OPT,6.171356
2010-05-01,DDI,100.355468
2010-05-01,FUT,504.063545
2010-05-01,OPT,8.42677
2010-06-01,DDI,67.813304
2010-06-01,FUT,355.926531
2010-06-01,OPT,6.280014
2010-07-01,DDI,92.670987
2010-07-01,FUT,305.990463
2010-07-01,OPT,15.774477
2010-08-01,DDI,101.486821
2010-08-01,FUT,287.79484
2010-08-01,OPT,3.075297
2010-09-01,DDI,107.33144910099999
2010-09-01,FUT,307.8497339
2010-09-01,OPT,3.1767789760000005
2010-10-01,DDI,93.884073
2010-10-01,FUT,350.337658
2010-10-01,OPT,9.22623
2010-11-01,DDI,95.107636
2010-11-01,FUT,305.599543
2010-11-01,OPT,3.958032
2010-12-01,DDI,110.474059
2010-12-01,FUT,299.578242
2010-12-01,OPT,3.583225
2011-01-01,DDI,127.287416
2011-01-01,FUT,274.028209
2011-01-01,OPT,15.082616
2011-02-01,DDI,130.301993
2011-02-01,FUT,255.860294
2011-02-01,OPT,5.090031
2011-03-01,DDI,114.934142
2011-03-01,FUT,305.815516
2011-03-01,OPT,1.905946
2011-04-01,DDI,175.545721
2011-04-01,FUT,332.051799
2011-04-01,OPT,3.760352
2011-05-01,DDI,211.987053
2011-05-01,FUT,449.830798
2011-05-01,OPT,6.030311
2011-06-01,DDI,177.150966
2011-06-01,FUT,376.434563
2011-06-01,OPT,4.949049
2011-07-01,DDI,153.166962
2011-07-01,FUT,356.272197
2011-07-01,OPT,11.037718
2011-08-01,DDI,150.547676
2011-08-01,FUT,435.87752
2011-08-01,OPT,4.631961
2011-09-01,DDI,147.117517
2011-09-01,FUT,462.345564
2011-09-01,OPT,2.925895
2011-10-01,DDI,114.545506
2011-10-01,FUT,403.989552
2011-10-01,OPT,5.331425
2011-11-01,DDI,131.595137
2011-11-01,FUT,361.359905
2011-11-01,OPT,3.085125
2011-12-01,DDI,121.011128
2011-12-01,FUT,313.925597
2011-12-01,OPT,2.526784
2012-01-01,DDI,172.158091
2012-01-01,FUT,399.761789
2012-01-01,OPT,5.658828
2012-02-01,DDI,167.326362
2012-02-01,FUT,372.153657
2012-02-01,OPT,4.534077
2012-03-01,DDI,143.488025
2012-03-01,FUT,422.23752
2012-03-01,OPT,4.014336
2012-04-01,DDI,135.347293
2012-04-01,FUT,367.830799
2012-04-01,OPT,5.023126
2012-05-01,DDI,165.199432
2012-05-01,FUT,476.245575
2012-05-01,OPT,3.521574
2012-06-01,DDI,152.538797
2012-06-01,FUT,369.529395
2012-06-01,OPT,4.418271
2012-07-01,DDI,161.516255
2012-07-01,FUT,346.509957
2012-07-01,OPT,5.279484
2012-08-01,DDI,151.017551
2012-08-01,FUT,306.433582
2012-08-01,OPT,2.201217
2012-09-01,DDI,144.789568
2012-09-01,FUT,290.25015
2012-09-01,OPT,2.318646
2012-10-01,DDI,147.289221
2012-10-01,FUT,236.078704
2012-10-01,OPT,1.599392
2012-11-01,DDI,113.066736
2012-11-01,FUT,310.16432
2012-11-01,OPT,1.753377
2012-12-01,DDI,134.944411
2012-12-01,FUT,319.343241
2012-12-01,OPT,4.890223
2013-01-01,DDI,136.077255
2013-01-01,FUT,331.366259
2013-01-01,OPT,4.38385
2013-02-01,DDI,130.779607
2013-02-01,FUT,302.549035
2013-02-01,OPT,4.803364
2013-03-01,DDI,120.257748
2013-03-01,FUT,354.30294
2013-03-01,OPT,3.551617
2013-04-01,DDI,133.936359
2013-04-01,FUT,374.452358
2013-04-01,OPT,2.905823
2013-05-01,DDI,172.759853
2013-05-01,FUT,392.541716
2013-05-01,OPT,2.874324
2013-06-01,DDI,190.783595
2013-06-01,FUT,460.465021
2013-06-01,OPT,5.942672
2013-07-01,DDI,172.073444
2013-07-01,FUT,318.868028
2013-07-01,OPT,3.685973
2013-08-01,DDI,189.312382
2013-08-01,FUT,404.888176
2013-08-01,OPT,4.150647
2013-09-01,DDI,147.161223
2013-09-01,FUT,347.690812
2013-09-01,OPT,5.018813
2013-10-01,DDI,173.928433
2013-10-01,FUT,304.976367
2013-10-01,OPT,4.552706
2013-11-01,DDI,167.274167
2013-11-01,FUT,290.123949
2013-11-01,OPT,2.576762
2013-12-01,DDI,170.534568
2013-12-01,FUT,303.87415
2013-12-01,OPT,5.401204
2014-01-01,DDI,203.246966
2014-01-01,FUT,361.717424
2014-01-01,OPT,5.484315
2014-02-01,DDI,208.254255
2014-02-01,FUT,352.273895
2014-02-01,OPT,3.074979
2014-03-01,DDI,181.698064
2014-03-01,FUT,332.868753
2014-03-01,OPT,3.490618
2014-04-01,DDI,227.442077
2014-04-01,FUT,353.314204
2014-04-01,OPT,3.695926
2014-05-01,DDI,193.842551
2014-05-01,FUT,292.292954
2014-05-01,OPT,4.993065
2014-06-01,DDI,185.565223
2014-06-01,FUT,289.074422
2014-06-01,OPT,2.01599
2014-07-01,DDI,257.02373
2014-07-01,FUT,292.673891
2014-07-01,OPT,4.733559
2014-08-01,DDI,219.931242
2014-08-01,FUT,359.27488
2014-08-01,OPT,2.82675
2014-09-01,DDI,233.596422
2014-09-01,FUT,444.266843
2014-09-01,OPT,2.169749
2014-10-01,DDI,287.799532
2014-10-01,FUT,459.513614
2014-10-01,OPT,4.093303
2014-11-01,DDI,260.938404
2014-11-01,FUT,293.622015
2014-11-01,OPT,3.557597
2014-12-01,DDI,240.402083
2014-12-01,FUT,307.268326
2014-12-01,OPT,3.344722
2015-01-01,DDI,261.721445
2015-01-01,FUT,330.849904
2015-01-01,OPT,5.176545
2015-02-01,DDI,287.922584
2015-02-01,FUT,312.850077
2015-02-01,OPT,1.802364
2015-03-01,DDI,343.214752
2015-03-01,FUT,418.14628
2015-03-01,OPT,4.976512
2015-04-01,DDI,264.951043
2015-04-01,FUT,337.591503
2015-04-01,OPT,5.982791
2015-05-01,DDI,264.709866
2015-05-01,FUT,314.7979
2015-05-01,OPT,3.22796
2015-06-01,DDI,236.300507
2015-06-01,FUT,310.650688
2015-06-01,OPT,3.145186
2015-07-01,DDI,314.831831
2015-07-01,FUT,347.648558
2015-07-01,OPT,5.025327
2015-08-01,DDI,318.758275
2015-08-01,FUT,338.22435
2015-08-01,OPT,8.142595
2015-09-01,DDI,390.886301
2015-09-01,FUT,366.522597
2015-09-01,OPT,7.017086
2015-10-01,DDI,279.915304
2015-10-01,FUT,293.702616
2015-10-01,OPT,5.70041
2015-11-01,DDI,293.445057
2015-11-01,FUT,246.983288
2015-11-01,OPT,1.982917
2015-12-01,DDI,293.834951
2015-12-01,FUT,278.82013
2015-12-01,OPT,2.669969
2016-01-01,DDI,82.70721882442999
2016-01-01,FUT,396.204628
2016-01-01,OPT,4.675395
2016-02-01,DDI,225.332466
2016-02-01,FUT,347.869079
2016-02-01,OPT,1.977571
2016-03-01,DDI,251.565399
2016-03-01,FUT,485.418279
2016-03-01,OPT,2.754987
2016-04-01,DDI,147.27760246616
2016-04-01,FUT,340.613118
2016-04-01,OPT,3.382432
2016-05-01,DDI,149.42049213487002
2016-05-01,FUT,318.957081
2016-05-01,OPT,3.246212
2016-06-01,DDI,135.03524364815
2016-06-01,FUT,366.087963
2016-06-01,OPT,3.129747
2016-07-01,DDI,53.19119600951999
2016-07-01,FUT,303.052303
2016-07-01,OPT,5.715145
2016-08-01,DDI,89.48733838663
2016-08-01,FUT,288.594258
2016-08-01,OPT,1.702478
2016-09-01,DDI,165.398759
2016-09-01,FUT,323.545552
2016-09-01,OPT,1.440171
2016-10-01,DDI,98.04715961883
2016-10-01,FUT,286.947865
2016-10-01,OPT,2.296604
2016-11-01,DDI,139.05330023986
2016-11-01,FUT,270.845685
2016-11-01,OPT,1.673385
2016-12-01,DDI,260.214031
2016-12-01,FUT,285.468169
2016-12-01,OPT,1.804532
2017-01-01,DDI,233.490988
2017-01-01,FUT,241.307918
2017-01-01,OPT,6.925469
