date,value
2008-12-01,1013
2009-01-01,701
2009-02-01,954
2009-03-01,145
2009-04-01,1258
2009-05-01,1338
2009-06-01,-524
2009-07-01,-1519
2009-08-01,-1140
2009-09-01,-3276
2009-10-01,3189
2009-11-01,4289
2009-12-01,3391
2010-01-01,2664
2010-02-01,2070
2010-03-01,453
2010-04-01,-2983
2010-05-01,-3278
2010-06-01,-9049
2010-07-01,-10003
2010-08-01,-13724
2010-09-01,-12427
2010-10-01,-12845
2010-11-01,-12690
2010-12-01,-16784
2011-01-01,-11018
2011-02-01,-12702
2011-03-01,-8831
2011-04-01,-11731
2011-05-01,-9301
2011-06-01,-14696
2011-07-01,-6302
2011-08-01,-6257
2011-09-01,1296
2011-10-01,3713
2011-11-01,1031
2011-12-01,-1583
2012-01-01,5249
2012-02-01,10219
2012-03-01,5794
2012-04-01,5999
2012-05-01,2686
2012-06-01,2287
2012-07-01,2679
2012-08-01,1881
2012-09-01,897
2012-10-01,-3658
2012-11-01,914
2012-12-01,-6069
2013-01-01,-8577
2013-02-01,-8521
2013-03-01,-8317
2013-04-01,-5113
2013-05-01,5408
2013-06-01,3063
2013-07-01,1675
2013-08-01,-4190
2013-09-01,-6511
2013-10-01,-12289
2013-11-01,-9577
2013-12-01,-18124
2014-01-01,-16593
2014-02-01,-18597
2014-03-01,-16254
2014-04-01,-13578
2014-05-01,-14342
2014-06-01,-13746
2014-07-01,-15642
2014-08-01,-18826
2014-09-01,-17163
2014-10-01,-10189
2014-11-01,-13985
2014-12-01,-28261
2015-01-01,-24424
2015-02-01,-25868
2015-03-01,-23830
2015-04-01,-10528
2015-05-01,-12846
2015-06-01,-17464
2015-07-01,-21689
2015-08-01,-17595
2015-09-01,-17833
2015-10-01,-21477
2015-11-01,-18297
2015-12-01,-20139
2016-01-01,-18783
2016-02-01,-27909
2016-03-01,-30464
2016-04-01,-23986
2016-05-01,-27041
2016-06-01,-30766
2016-07-01,-29445
2016-08-01,-30582
2016-09-01,-35936
2016-10-01,-27237
2016-11-01,-23491
2016-12-01,-24541
2017-01-01,-20693
2017-02-01,-25272
2017-03-01,-21925
2017-04-01,-12814
2017-05-01,-12453
2017-06-01,-16277
2017-07-01,-18797
2017-08-01,-19374
2017-09-01,-16966
2017-10-01,-13189
2017-11-01,-13899
2017-12-01,-23296
2018-01-01,-15056
2018-02-01,-16585
2018-03-01,-20574
2018-04-01,-6337
2018-05-01,-4962
2018-06-01,-1368
2018-07-01,4559
2018-08-01,160
2018-09-01,-5876
2018-10-01,-5659
2018-11-01,-11827
2018-12-01,-24865
2019-01-01,-24801
2019-02-01,-15953
2019-03-01,-20435
2019-04-01,-22222
2019-05-01,-22099
2019-06-01,-30867
2019-07-01,-27739
2019-08-01,-28691
2019-09-01,-24092
2019-10-01,-23650
2019-11-01,-23804
2019-12-01,-33931
2020-01-01,-34261
2020-02-01,-38912
2020-03-01,-33511
2020-04-01,-29204
2020-05-01,-25505
2020-06-01,-26904
2020-07-01,-29707
2020-08-01,-27448
2020-09-01,-30242
2020-10-01,-29088
2020-11-01,-28027
2020-12-01,-35853
2021-01-01,-33165
