DATE,USD3MTD156N,USD1MTD156N,USD12MD156N,USD6MTD156N,USDONTD156N,USD2MTD156N,USD1WKD156N,USD9MTD156N,USD4MTD156N,USD2WKD156N,USD5MTD156N
2009-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-02,1.4125,0.43,2.02375,1.7525,0.12375,1.09875,0.31375,1.90625,1.54625,0.365,1.65
2009-01-05,1.42125,0.42875,2.0925,1.79375,0.1175,1.0975,0.29,1.95875,1.5475,0.33625,1.67625
2009-01-06,1.41125,0.42063,2.04625,1.77,0.12375,1.09125,0.2975,1.925,1.52625,0.34375,1.6575
2009-01-07,1.3975,0.40625,1.995,1.75,0.1075,1.0725,0.28375,1.8925,1.5075,0.32875,1.6375
2009-01-08,1.35375,0.38625,1.925,1.68625,0.1025,1.0375,0.26625,1.82875,1.455,0.31375,1.5775
2009-01-09,1.26,0.36625,1.855,1.6,0.1025,0.96625,0.2475,1.745,1.3625,0.2925,1.48625
2009-01-12,1.16,0.3425,1.765,1.50625,0.10375,0.8975,0.24625,1.655,1.2725,0.285,1.3925
2009-01-13,1.09438,0.33313,1.7375,1.465,0.10375,0.8475,0.23625,1.62375,1.2275,0.2775,1.3475
2009-01-14,1.0825,0.32875,1.74625,1.47125,0.105,0.84,0.2325,1.63375,1.2275,0.265,1.34625
2009-01-15,1.08563,0.33375,1.77125,1.50125,0.1175,0.84125,0.24125,1.66,1.2425,0.275,1.36875
2009-01-16,1.1425,0.35938,1.89,1.58875,0.13625,0.8825,0.24313,1.76,1.315,0.28875,1.45375
2009-01-19,1.1325,0.355,1.85125,1.55625,NA,0.87375,0.24188,1.72375,1.2975,0.28625,1.4325
2009-01-20,1.1225,0.3525,1.83,1.545,0.14125,0.86125,0.2425,1.70875,1.29125,0.28313,1.42625
2009-01-21,1.125,0.35625,1.84,1.55875,0.1875,0.86625,0.25875,1.7175,1.2975,0.30125,1.43625
2009-01-22,1.15938,0.38938,1.92125,1.6175,0.21,0.8975,0.29125,1.7925,1.3375,0.32375,1.48125
2009-01-23,1.16938,0.40125,1.915,1.6275,0.23625,0.90375,0.2975,1.79,1.34875,0.33625,1.49375
2009-01-26,1.18375,0.40875,1.96625,1.6725,0.2325,0.91375,0.31,1.83625,1.37625,0.35,1.52625
2009-01-27,1.18438,0.41125,1.97063,1.6775,0.22,0.91313,0.3175,1.83875,1.37875,0.365,1.52625
2009-01-28,1.17438,0.40938,1.91125,1.63063,0.22375,0.90563,0.30875,1.77688,1.3625,0.3575,1.495
